UserId; SessionType; dt in ms; HeadOrigin.x; HeadOrigin.y; HeadOrigin.z; HeadDir.x; HeadDir.y; HeadDir.z; EyeOrigin.x; EyeOrigin.y; EyeOrigin.z; EyeDir.x; EyeDir.y; EyeDir.z; EyeHitPos.x; EyeHitPos.y; EyeHitPos.z
tester; Session00; 4,9752; -0,06218893; -0,0322222; 0,579326; 0; 0; 0; -0,06218893; -0,0322222; 0,579326; 0,2114299; -0,1499431; 0,9658233; 0,2416849; -0,2477252; 1,967438
tester; Session00; 8,9742; -0,06218893; -0,0322222; 0,579326; 0; 0; 0; -0,06218893; -0,0322222; 0,579326; 0,2114299; -0,1499431; 0,9658233; 0,2416849; -0,2477252; 1,967438
tester; Session00; 15,0003; -0,06218893; -0,0322222; 0,579326; 0; 0; 0; -0,06218893; -0,0322222; 0,579326; 0,2114299; -0,1499431; 0,9658233; 0,2416849; -0,2477252; 1,967438
tester; Session00; 20,7279; -0,06218893; -0,0322222; 0,579326; 0; 0; 0; -0,06218893; -0,0322222; 0,579326; 0,2114299; -0,1499431; 0,9658233; 0,2416849; -0,2477252; 1,967438
tester; Session00; 27,6452; -0,06218893; -0,0322222; 0,579326; 0; 0; 0; -0,06218893; -0,0322222; 0,579326; 0,2114299; -0,1499431; 0,9658233; 0,2416849; -0,2477252; 1,967438
tester; Session00; 34,6564; -0,06218893; -0,0322222; 0,579326; 0; 0; 0; -0,06218893; -0,0322222; 0,579326; 0,2114299; -0,1499431; 0,9658233; 0,2416849; -0,2477252; 1,967438
tester; Session00; 41,656; -0,06218893; -0,0322222; 0,579326; 0; 0; 0; -0,06218893; -0,0322222; 0,579326; 0,2114299; -0,1499431; 0,9658233; 0,2416849; -0,2477252; 1,967438
tester; Session00; 50,6491; -0,06218893; -0,0322222; 0,579326; 0; 0; 0; -0,06218893; -0,0322222; 0,579326; 0,2114299; -0,1499431; 0,9658233; 0,2416849; -0,2477252; 1,967438
tester; Session00; 56,6803; -0,06218893; -0,0322222; 0,579326; 0; 0; 0; -0,06218893; -0,0322222; 0,579326; 0,2114299; -0,1499431; 0,9658233; 0,2416849; -0,2477252; 1,967438
tester; Session00; 63,6497; -0,06218893; -0,0322222; 0,579326; 0; 0; 0; -0,06218893; -0,0322222; 0,579326; 0,2114299; -0,1499431; 0,9658233; 0,2416849; -0,2477252; 1,967438
